RUN	ComputerDatabaseSimulation	computerdatabasesimulation	1548621881787	 	3.0.0-RC4
USER	Users	1	START	1548621885847	1548621885847
USER	Users	2	START	1548621886156	1548621886156
USER	Users	3	START	1548621886399	1548621886399
REQUEST	1		Home	1548621885913	1548621886428	OK	 
USER	Users	4	START	1548621886659	1548621886659
REQUEST	2		Home	1548621886157	1548621886701	OK	 
REQUEST	1		Home Redirect 1	1548621886450	1548621886751	OK	 
REQUEST	3		Home	1548621886405	1548621886933	OK	 
USER	Users	5	START	1548621886909	1548621886909
REQUEST	2		Home Redirect 1	1548621886702	1548621886975	OK	 
REQUEST	4		Home	1548621886660	1548621887168	OK	 
USER	Users	6	START	1548621887159	1548621887159
REQUEST	3		Home Redirect 1	1548621886944	1548621887202	OK	 
REQUEST	5		Home	1548621886931	1548621887371	OK	 
USER	Users	7	START	1548621887408	1548621887408
REQUEST	4		Home Redirect 1	1548621887170	1548621887439	OK	 
REQUEST	5		Home Redirect 1	1548621887373	1548621887606	OK	 
REQUEST	6		Home	1548621887169	1548621887641	OK	 
USER	Users	8	START	1548621887657	1548621887657
REQUEST	6		Home Redirect 1	1548621887645	1548621887886	OK	 
USER	Users	9	START	1548621887905	1548621887905
REQUEST	7		Home	1548621887415	1548621887945	OK	 
USER	Users	10	START	1548621888059	1548621888059
REQUEST	8		Home	1548621887685	1548621888134	OK	 
REQUEST	7		Home Redirect 1	1548621887947	1548621888228	OK	 
REQUEST	1		Search	1548621887777	1548621888028	OK	 
REQUEST	2		Search	1548621887998	1548621888256	OK	 
USER	Users	11	START	1548621888306	1548621888306
REQUEST	8		Home Redirect 1	1548621888139	1548621888382	OK	 
REQUEST	9		Home	1548621887919	1548621888507	OK	 
REQUEST	3		Search	1548621888223	1548621888518	OK	 
REQUEST	10		Home	1548621888060	1548621888553	OK	 
USER	Users	12	START	1548621888557	1548621888557
REQUEST	4		Search	1548621888463	1548621888716	OK	 
REQUEST	9		Home Redirect 1	1548621888519	1548621888757	OK	 
USER	Users	13	START	1548621888808	1548621888808
REQUEST	10		Home Redirect 1	1548621888559	1548621888825	OK	 
REQUEST	5		Search	1548621888618	1548621888856	OK	 
REQUEST	11		Home	1548621888319	1548621888880	OK	 
REQUEST	12		Home	1548621888565	1548621889039	OK	 
USER	Users	14	START	1548621889061	1548621889061
REQUEST	6		Search	1548621888907	1548621889184	OK	 
REQUEST	11		Home Redirect 1	1548621888882	1548621889199	OK	 
REQUEST	13		Home	1548621888810	1548621889252	OK	 
USER	Users	15	START	1548621889308	1548621889308
REQUEST	1		Select	1548621889059	1548621889368	OK	 
REQUEST	12		Home Redirect 1	1548621889042	1548621889371	OK	 
REQUEST	2		Select	1548621889251	1548621889486	OK	 
REQUEST	13		Home Redirect 1	1548621889271	1548621889534	OK	 
USER	Users	16	START	1548621889556	1548621889556
REQUEST	7		Search	1548621889272	1548621889584	OK	 
REQUEST	14		Home	1548621889085	1548621889601	OK	 
REQUEST	8		Search	1548621889388	1548621889674	OK	 
REQUEST	3		Select	1548621889536	1548621889814	OK	 
USER	Users	17	START	1548621889807	1548621889807
REQUEST	15		Home	1548621889338	1548621889890	OK	 
REQUEST	14		Home Redirect 1	1548621889629	1548621889926	OK	 
REQUEST	4		Select	1548621889727	1548621889978	OK	 
REQUEST	9		Search	1548621889776	1548621890005	OK	 
USER	Users	18	START	1548621890046	1548621890046
REQUEST	16		Home	1548621889582	1548621890076	OK	 
REQUEST	5		Select	1548621889888	1548621890146	OK	 
REQUEST	10		Search	1548621889838	1548621890145	OK	 
REQUEST	15		Home Redirect 1	1548621889913	1548621890165	OK	 
REQUEST	17		Home	1548621889815	1548621890315	OK	 
USER	Users	19	START	1548621890304	1548621890304
REQUEST	16		Home Redirect 1	1548621890082	1548621890365	OK	 
REQUEST	6		Select	1548621890181	1548621890439	OK	 
REQUEST	18		Home	1548621890055	1548621890549	OK	 
REQUEST	11		Search	1548621890243	1548621890551	OK	 
USER	Users	20	START	1548621890551	1548621890551
REQUEST	17		Home Redirect 1	1548621890317	1548621890635	OK	 
REQUEST	12		Search	1548621890397	1548621890671	OK	 
REQUEST	1		Page 0	1548621890409	1548621890683	OK	 
REQUEST	2		Page 0	1548621890490	1548621890736	OK	 
REQUEST	19		Home	1548621890313	1548621890750	OK	 
REQUEST	18		Home Redirect 1	1548621890561	1548621890814	OK	 
REQUEST	13		Search	1548621890595	1548621890860	OK	 
