RUN	ComputerDatabaseSimulation	computerdatabasesimulation	1548442199715	 	3.0.0-RC4
USER	Users	1	START	1548442204255	1548442204255
USER	Admins	4	START	1548442204306	1548442204306
REQUEST	4		Home	1548442204308	1548442205001	OK	 
REQUEST	1		Home	1548442204296	1548442205011	OK	 
REQUEST	4		Home Redirect 1	1548442205018	1548442205223	OK	 
REQUEST	1		Home Redirect 1	1548442205016	1548442205213	OK	 
USER	Users	2	START	1548442205283	1548442205283
REQUEST	2		Home	1548442205287	1548442205723	OK	 
REQUEST	2		Home Redirect 1	1548442205724	1548442205932	OK	 
USER	Users	3	START	1548442206281	1548442206281
REQUEST	1		Search	1548442206233	1548442206459	OK	 
REQUEST	4		Search	1548442206252	1548442206461	OK	 
REQUEST	3		Home	1548442206282	1548442206682	OK	 
REQUEST	3		Home Redirect 1	1548442206683	1548442206892	OK	 
REQUEST	2		Search	1548442206957	1548442207166	OK	 
USER	Users	5	START	1548442207236	1548442207236
REQUEST	5		Home	1548442207238	1548442207602	OK	 
REQUEST	4		Select	1548442207473	1548442207670	OK	 
REQUEST	1		Select	1548442207475	1548442207673	OK	 
REQUEST	5		Home Redirect 1	1548442207603	1548442207792	OK	 
REQUEST	3		Search	1548442207916	1548442208112	OK	 
USER	Users	6	START	1548442208233	1548442208233
REQUEST	2		Select	1548442208168	1548442208376	OK	 
REQUEST	6		Home	1548442208237	1548442208627	OK	 
REQUEST	6		Home Redirect 1	1548442208628	1548442208833	OK	 
REQUEST	1		Page 0	1548442208681	1548442208885	OK	 
REQUEST	4		Page 0	1548442208683	1548442208894	OK	 
REQUEST	5		Search	1548442208807	1548442209002	OK	 
USER	Users	7	START	1548442209249	1548442209249
USER	Admins	8	START	1548442209249	1548442209249
REQUEST	3		Select	1548442209114	1548442209329	OK	 
REQUEST	2		Page 0	1548442209379	1548442209592	OK	 
REQUEST	8		Home	1548442209256	1548442209636	OK	 
REQUEST	7		Home	1548442209258	1548442209658	OK	 
REQUEST	8		Home Redirect 1	1548442209638	1548442209997	OK	 
REQUEST	7		Home Redirect 1	1548442209659	1548442210023	OK	 
REQUEST	6		Search	1548442209974	1548442210190	OK	 
REQUEST	4		Page 1	1548442209984	1548442210250	OK	 
REQUEST	5		Select	1548442210025	1548442210252	OK	 
REQUEST	1		Page 1	1548442209981	1548442210255	OK	 
USER	Users	9	START	1548442210232	1548442210232
REQUEST	3		Page 0	1548442210322	1548442210529	OK	 
REQUEST	9		Home	1548442210247	1548442210616	OK	 
REQUEST	2		Page 1	1548442210597	1548442210802	OK	 
REQUEST	9		Home Redirect 1	1548442210618	1548442210833	OK	 
USER	Users	10	START	1548442211224	1548442211224
REQUEST	8		Search	1548442211033	1548442211236	OK	 
REQUEST	7		Search	1548442211047	1548442211260	OK	 
REQUEST	6		Select	1548442211194	1548442211396	OK	 
REQUEST	1		Page 2	1548442211240	1548442211448	OK	 
REQUEST	4		Page 2	1548442211241	1548442211449	OK	 
REQUEST	5		Page 0	1548442211261	1548442211461	OK	 
REQUEST	10		Home	1548442211230	1548442211591	OK	 
REQUEST	3		Page 1	1548442211535	1548442211745	OK	 
REQUEST	10		Home Redirect 1	1548442211593	1548442211777	OK	 
REQUEST	2		Page 2	1548442211817	1548442212031	OK	 
REQUEST	9		Search	1548442211853	1548442212045	OK	 
USER	Users	11	START	1548442212234	1548442212234
REQUEST	8		Select	1548442212246	1548442212437	OK	 
REQUEST	7		Select	1548442212263	1548442212457	OK	 
REQUEST	11		Home	1548442212240	1548442212610	OK	 
REQUEST	6		Page 0	1548442212393	1548442212612	OK	 
REQUEST	1		Page 3	1548442212458	1548442212651	OK	 
REQUEST	4		Page 3	1548442212470	1548442212679	OK	 
REQUEST	5		Page 1	1548442212467	1548442212678	OK	 
REQUEST	11		Home Redirect 1	1548442212613	1548442212822	OK	 
REQUEST	3		Page 2	1548442212753	1548442212974	OK	 
REQUEST	10		Search	1548442212798	1548442212996	OK	 
USER	Users	12	START	1548442213225	1548442213225
REQUEST	9		Select	1548442213041	1548442213278	OK	 
REQUEST	2		Page 3	1548442213039	1548442213279	OK	 
REQUEST	12		Home	1548442213227	1548442213602	OK	 
REQUEST	8		Page 0	1548442213444	1548442213637	OK	 
REQUEST	7		Page 0	1548442213455	1548442213643	OK	 
REQUEST	12		Home Redirect 1	1548442213604	1548442213819	OK	 
REQUEST	6		Page 1	1548442213622	1548442213850	OK	 
REQUEST	1		Page 4	1548442213655	1548442213871	OK	 
REQUEST	4		Page 4	1548442213678	1548442213914	OK	 
REQUEST	5		Page 2	1548442213676	1548442213916	OK	 
REQUEST	11		Search	1548442213839	1548442214096	OK	 
REQUEST	3		Page 3	1548442213975	1548442214172	OK	 
REQUEST	10		Select	1548442214005	1548442214210	OK	 
REQUEST	2		Page 4	1548442214273	1548442214479	OK	 
REQUEST	9		Page 0	1548442214294	1548442214501	OK	 
REQUEST	8		Page 1	1548442214647	1548442214853	OK	 
REQUEST	7		Page 1	1548442214666	1548442214859	OK	 
USER	Users	1	END	1548442204255	1548442214866
REQUEST	12		Search	1548442214822	1548442215014	OK	 
REQUEST	6		Page 2	1548442214865	1548442215063	OK	 
REQUEST	4		Form	1548442214912	1548442215104	OK	 
REQUEST	5		Page 3	1548442214922	1548442215127	OK	 
REQUEST	11		Select	1548442215112	1548442215307	OK	 
REQUEST	3		Page 4	1548442215176	1548442215374	OK	 
REQUEST	10		Page 0	1548442215208	1548442215398	OK	 
USER	Users	2	END	1548442205283	1548442215483
REQUEST	9		Page 1	1548442215494	1548442215679	OK	 
REQUEST	7		Page 2	1548442215844	1548442216061	OK	 
REQUEST	8		Page 2	1548442215860	1548442216090	OK	 
REQUEST	12		Select	1548442216044	1548442216260	OK	 
REQUEST	6		Page 3	1548442216068	1548442216292	OK	 
REQUEST	5		Page 4	1548442216126	1548442216356	OK	 
REQUEST	4		Post	1548442216124	1548442216355	KO	status.find.is(201), but actually found 400
USER	Users	3	END	1548442206281	1548442216590
USER	Admins	4	END	1548442204306	1548442216600
REQUEST	11		Page 0	1548442216319	1548442216620	OK	 
REQUEST	10		Page 1	1548442216591	1548442216792	OK	 
REQUEST	9		Page 2	1548442216686	1548442216870	OK	 
REQUEST	7		Page 3	1548442217078	1548442217270	OK	 
REQUEST	8		Page 3	1548442217098	1548442217306	OK	 
USER	Users	5	END	1548442207236	1548442217367
REQUEST	12		Page 0	1548442217256	1548442217441	OK	 
REQUEST	6		Page 4	1548442217296	1548442217489	OK	 
REQUEST	11		Page 1	1548442217616	1548442217798	OK	 
REQUEST	10		Page 2	1548442217784	1548442218020	OK	 
REQUEST	9		Page 3	1548442217875	1548442218068	OK	 
REQUEST	7		Page 4	1548442218264	1548442218467	OK	 
USER	Users	6	END	1548442208233	1548442218485
REQUEST	8		Page 4	1548442218309	1548442218512	OK	 
REQUEST	12		Page 1	1548442218448	1548442218639	OK	 
REQUEST	11		Page 2	1548442218805	1548442219001	OK	 
REQUEST	10		Page 3	1548442219037	1548442219229	OK	 
REQUEST	9		Page 4	1548442219062	1548442219248	OK	 
USER	Users	7	END	1548442209249	1548442219473
REQUEST	8		Form	1548442219505	1548442219698	OK	 
REQUEST	12		Page 2	1548442219646	1548442219834	OK	 
REQUEST	11		Page 3	1548442220007	1548442220191	OK	 
USER	Users	9	END	1548442210232	1548442220253
REQUEST	10		Page 4	1548442220222	1548442220412	OK	 
REQUEST	8		Post	1548442220705	1548442220906	KO	status.find.is(201), but actually found 400
USER	Admins	8	END	1548442209249	1548442221043
REQUEST	12		Page 3	1548442220836	1548442221046	OK	 
REQUEST	11		Page 4	1548442221182	1548442221374	OK	 
USER	Users	10	END	1548442211224	1548442221416
REQUEST	12		Page 4	1548442222055	1548442222259	OK	 
USER	Users	11	END	1548442212234	1548442222386
USER	Users	12	END	1548442213225	1548442223255
