RUN	ComputerDatabaseSimulation	computerdatabasesimulation	1548622365874	 	3.0.0-RC4
USER	Users	1	START	1548622385257	1548622385257
USER	Users	2	START	1548622385522	1548622385522
REQUEST	1		Home	1548622385296	1548622385726	OK	 
USER	Users	3	START	1548622385776	1548622385776
REQUEST	2		Home	1548622385522	1548622385957	OK	 
REQUEST	1		Home Redirect 1	1548622385739	1548622385957	OK	 
USER	Users	4	START	1548622386039	1548622386039
REQUEST	2		Home Redirect 1	1548622385959	1548622386188	OK	 
REQUEST	3		Home	1548622385777	1548622386236	OK	 
USER	Users	5	START	1548622386284	1548622386284
REQUEST	4		Home	1548622386041	1548622386452	OK	 
REQUEST	2		Search	1548622386190	1548622386430	OK	 
REQUEST	1		Search	1548622385997	1548622386216	OK	 
REQUEST	3		Home Redirect 1	1548622386237	1548622386490	OK	 
USER	Users	6	START	1548622386537	1548622386537
REQUEST	4		Home Redirect 1	1548622386453	1548622386666	OK	 
REQUEST	1		Select	1548622386480	1548622386698	OK	 
REQUEST	2		Select	1548622386480	1548622386719	OK	 
REQUEST	3		Search	1548622386501	1548622386740	OK	 
REQUEST	5		Home	1548622386287	1548622386759	OK	 
USER	Users	7	START	1548622386791	1548622386791
REQUEST	4		Search	1548622386670	1548622386888	OK	 
REQUEST	1		Page 0	1548622386705	1548622386921	OK	 
REQUEST	2		Page 0	1548622386727	1548622386963	OK	 
REQUEST	3		Select	1548622386749	1548622386992	OK	 
REQUEST	6		Home	1548622386538	1548622386998	OK	 
REQUEST	5		Home Redirect 1	1548622386767	1548622387019	OK	 
USER	Users	8	START	1548622387032	1548622387032
REQUEST	4		Select	1548622386891	1548622387111	OK	 
REQUEST	1		Page 1	1548622386929	1548622387156	OK	 
REQUEST	2		Page 1	1548622386967	1548622387193	OK	 
REQUEST	7		Home	1548622386792	1548622387212	OK	 
REQUEST	6		Home Redirect 1	1548622387009	1548622387233	OK	 
REQUEST	3		Page 0	1548622386996	1548622387247	OK	 
USER	Users	9	START	1548622387282	1548622387282
REQUEST	5		Search	1548622387030	1548622387296	OK	 
REQUEST	4		Page 0	1548622387115	1548622387335	OK	 
REQUEST	1		Page 2	1548622387157	1548622387376	OK	 
REQUEST	2		Page 2	1548622387196	1548622387419	OK	 
REQUEST	7		Home Redirect 1	1548622387213	1548622387425	OK	 
REQUEST	8		Home	1548622387035	1548622387451	OK	 
REQUEST	6		Search	1548622387235	1548622387459	OK	 
USER	Users	10	START	1548622387484	1548622387484
REQUEST	3		Page 1	1548622387249	1548622387490	OK	 
REQUEST	5		Select	1548622387303	1548622387538	OK	 
REQUEST	4		Page 1	1548622387337	1548622387553	OK	 
REQUEST	1		Page 3	1548622387378	1548622387590	OK	 
REQUEST	7		Search	1548622387428	1548622387637	OK	 
REQUEST	2		Page 3	1548622387422	1548622387644	OK	 
REQUEST	8		Home Redirect 1	1548622387452	1548622387662	OK	 
REQUEST	6		Select	1548622387466	1548622387678	OK	 
REQUEST	3		Page 2	1548622387492	1548622387725	OK	 
USER	Users	11	START	1548622387732	1548622387732
REQUEST	9		Home	1548622387283	1548622387736	OK	 
REQUEST	4		Page 2	1548622387557	1548622387767	OK	 
REQUEST	5		Page 0	1548622387540	1548622387776	OK	 
REQUEST	1		Page 4	1548622387592	1548622387808	OK	 
USER	Users	1	END	1548622385257	1548622387819
REQUEST	7		Select	1548622387640	1548622387848	OK	 
REQUEST	2		Page 4	1548622387646	1548622387873	OK	 
USER	Users	2	END	1548622385522	1548622387876
REQUEST	8		Search	1548622387665	1548622387877	OK	 
REQUEST	6		Page 0	1548622387679	1548622387893	OK	 
REQUEST	10		Home	1548622387485	1548622387932	OK	 
REQUEST	3		Page 3	1548622387727	1548622387965	OK	 
REQUEST	9		Home Redirect 1	1548622387737	1548622387969	OK	 
REQUEST	4		Page 3	1548622387769	1548622387981	OK	 
USER	Users	12	START	1548622387989	1548622387989
REQUEST	5		Page 1	1548622387778	1548622388016	OK	 
REQUEST	7		Page 0	1548622387849	1548622388057	OK	 
REQUEST	8		Select	1548622387879	1548622388086	OK	 
