RUN	ComputerDatabaseSimulation	computerdatabasesimulation	1548627565826	 	3.0.0-RC4
USER	Users	1	START	1548627570734	1548627570734
USER	Users	2	START	1548627571053	1548627571053
USER	Users	3	START	1548627571255	1548627571255
USER	Users	4	START	1548627571454	1548627571454
REQUEST	2		Home	1548627571054	1548627571519	OK	 
REQUEST	1		Home	1548627570821	1548627571608	OK	 
USER	Users	5	START	1548627571650	1548627571650
REQUEST	3		Home	1548627571256	1548627571775	OK	 
REQUEST	2		Home Redirect 1	1548627571537	1548627571899	OK	 
REQUEST	1		Home Redirect 1	1548627571610	1548627571941	OK	 
REQUEST	4		Home	1548627571481	1548627571959	OK	 
REQUEST	3		Home Redirect 1	1548627571777	1548627572024	OK	 
REQUEST	5		Home	1548627571651	1548627572095	OK	 
REQUEST	4		Home Redirect 1	1548627571960	1548627572192	OK	 
REQUEST	5		Home Redirect 1	1548627572096	1548627572328	OK	 
REQUEST	1		Search	1548627572974	1548627573290	OK	 
REQUEST	2		Search	1548627572941	1548627573175	OK	 
REQUEST	3		Search	1548627573045	1548627573305	OK	 
REQUEST	4		Search	1548627573208	1548627573487	OK	 
REQUEST	5		Search	1548627573355	1548627573625	OK	 
REQUEST	2		Select	1548627574185	1548627574418	OK	 
REQUEST	3		Select	1548627574321	1548627574606	OK	 
REQUEST	1		Select	1548627574302	1548627574617	OK	 
REQUEST	4		Select	1548627574504	1548627574732	OK	 
REQUEST	5		Select	1548627574631	1548627574874	OK	 
REQUEST	2		Page 0	1548627575437	1548627575704	OK	 
REQUEST	3		Page 0	1548627575634	1548627575854	OK	 
REQUEST	1		Page 0	1548627575635	1548627575946	OK	 
REQUEST	4		Page 0	1548627575733	1548627575998	OK	 
REQUEST	5		Page 0	1548627575884	1548627576112	OK	 
REQUEST	2		Page 1	1548627576706	1548627576937	OK	 
REQUEST	3		Page 1	1548627576856	1548627577081	OK	 
REQUEST	4		Page 1	1548627576994	1548627577217	OK	 
REQUEST	1		Page 1	1548627576943	1548627577259	OK	 
REQUEST	5		Page 1	1548627577103	1548627577328	OK	 
REQUEST	2		Page 2	1548627577933	1548627578162	OK	 
REQUEST	3		Page 2	1548627578084	1548627578311	OK	 
REQUEST	4		Page 2	1548627578221	1548627578435	OK	 
REQUEST	1		Page 2	1548627578263	1548627578526	OK	 
REQUEST	5		Page 2	1548627578337	1548627578593	OK	 
REQUEST	2		Page 3	1548627579174	1548627579394	OK	 
REQUEST	3		Page 3	1548627579305	1548627579530	OK	 
REQUEST	4		Page 3	1548627579436	1548627579649	OK	 
REQUEST	1		Page 3	1548627579531	1548627579804	OK	 
REQUEST	5		Page 3	1548627579593	1548627579829	OK	 
REQUEST	2		Page 4	1548627580405	1548627580626	OK	 
USER	Users	6	START	1548627580721	1548627580721
REQUEST	3		Page 4	1548627580555	1548627580792	OK	 
USER	Users	7	START	1548627580872	1548627580872
REQUEST	4		Page 4	1548627580664	1548627580912	OK	 
USER	Users	8	START	1548627580993	1548627580993
REQUEST	5		Page 4	1548627580836	1548627581074	OK	 
REQUEST	1		Page 4	1548627580817	1548627581089	OK	 
USER	Users	9	START	1548627581124	1548627581124
REQUEST	6		Home	1548627580722	1548627581169	OK	 
USER	Users	10	START	1548627581243	1548627581243
REQUEST	7		Home	1548627580892	1548627581339	OK	 
USER	Users	11	START	1548627581371	1548627581371
REQUEST	6		Home Redirect 1	1548627581172	1548627581433	OK	 
REQUEST	8		Home	1548627581005	1548627581490	OK	 
USER	Users	12	START	1548627581493	1548627581493
REQUEST	9		Home	1548627581138	1548627581576	OK	 
USER	Users	13	START	1548627581621	1548627581621
USER	Users	2	END	1548627571053	1548627581644
REQUEST	7		Home Redirect 1	1548627581375	1548627581663	OK	 
USER	Users	14	START	1548627581661	1548627581661
REQUEST	10		Home	1548627581244	1548627581707	OK	 
USER	Users	3	END	1548627571255	1548627581808
REQUEST	8		Home Redirect 1	1548627581491	1548627581812	OK	 
USER	Users	15	START	1548627581810	1548627581810
REQUEST	9		Home Redirect 1	1548627581577	1548627581889	OK	 
REQUEST	11		Home	1548627581377	1548627581964	OK	 
USER	Users	4	END	1548627571454	1548627581974
REQUEST	10		Home Redirect 1	1548627581708	1548627582023	OK	 
USER	Users	16	START	1548627582005	1548627582005
REQUEST	12		Home	1548627581524	1548627582051	OK	 
USER	Users	5	END	1548627571650	1548627582107
USER	Users	17	START	1548627582109	1548627582109
USER	Users	1	END	1548627570734	1548627582108
USER	Users	18	START	1548627582120	1548627582120
REQUEST	14		Home	1548627581666	1548627582159	OK	 
REQUEST	13		Home	1548627581642	1548627582222	OK	 
REQUEST	11		Home Redirect 1	1548627582004	1548627582291	OK	 
REQUEST	15		Home	1548627581840	1548627582403	OK	 
REQUEST	12		Home Redirect 1	1548627582052	1548627582405	OK	 
REQUEST	14		Home Redirect 1	1548627582159	1548627582446	OK	 
REQUEST	13		Home Redirect 1	1548627582223	1548627582505	OK	 
REQUEST	16		Home	1548627582024	1548627582538	OK	 
REQUEST	17		Home	1548627582110	1548627582589	OK	 
REQUEST	18		Home	1548627582122	1548627582617	OK	 
REQUEST	15		Home Redirect 1	1548627582419	1548627582661	OK	 
REQUEST	6		Search	1548627582448	1548627582726	OK	 
REQUEST	16		Home Redirect 1	1548627582544	1548627582806	OK	 
REQUEST	17		Home Redirect 1	1548627582590	1548627582849	OK	 
REQUEST	18		Home Redirect 1	1548627582619	1548627582923	OK	 
REQUEST	7		Search	1548627582692	1548627582940	OK	 
REQUEST	8		Search	1548627582887	1548627583149	OK	 
REQUEST	9		Search	1548627582984	1548627583208	OK	 
REQUEST	10		Search	1548627583035	1548627583263	OK	 
REQUEST	11		Search	1548627583305	1548627583571	OK	 
REQUEST	12		Search	1548627583434	1548627583666	OK	 
REQUEST	14		Search	1548627583476	1548627583706	OK	 
REQUEST	13		Search	1548627583523	1548627583836	OK	 
REQUEST	15		Search	1548627583675	1548627583946	OK	 
REQUEST	6		Select	1548627583747	1548627584044	OK	 
